User ID,Studio Profile ID,Classification,Completeness Score,Reasons,Recommended Action,Metadata
pgzj45swq8c5v1kzvfp58p4p,m3zh07vc1hvtdc63a8zcko30,EXCEPTION,75,"Missing key fields: city, services; URL issues: twitter_url should be migrated to x_url; Has coordinates but missing city",Reverse geocode coordinates to fill city,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""city"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""],""geodata_issue"":""coords_no_city""}"
r9s3dosi23hskdxrzraxxcrk,qoquyguxcxiw3zn588bebpo0,NEEDS_UPDATE,70,"Missing key fields: phone, services; URL issues: twitter_url should be migrated to x_url",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""phone"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
qu7lti2a7yazvqyitbvsql1o,x6gramoqwvzn6rhhm91uzqx4,NEEDS_UPDATE,85,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
jtk9rkus4opfmr5khxbuakqq,kq46wos6l7bjmage7es612b0,NEEDS_UPDATE,75,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
stj51u5na6w0iaylpwlnxq4f,jygrqxwjb02jdahvlpiiasin,NEEDS_UPDATE,80,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
q2kdw71k5avia1zefplb1r00,czckywkw6axmkti03yk8g8nt,EXCEPTION,70,"Missing key fields: city, services; URL issues: twitter_url should be migrated to x_url; Has coordinates but missing city",Reverse geocode coordinates to fill city,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""city"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""],""geodata_issue"":""coords_no_city""}"
a2f9sc4ga40ae5rh49fnirvd,wxezomos2qtb9k1zbl93s50d,NEEDS_UPDATE,80,"Missing key fields: phone, services; URL issues: twitter_url should be migrated to x_url",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""phone"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
y7mzyp63034bihbaex992x5s,ozxbi593uqz5um2q65af5zxb,NEEDS_UPDATE,85,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
izihz7u118twrw12ert9d02o,yhzum9x3wbx4yxxan3izw8x0,EXCEPTION,50,"Missing key fields: coordinates, phone, website, services; URL issues: twitter_url should be migrated to x_url; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""phone"",""website"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""],""geodata_issue"":""address_no_coords""}"
l3tjbrlaybhzdsyrbksk3p6a,at1cmx2d6dr1s5h5hj3urrqe,NEEDS_UPDATE,65,"Missing key fields: phone, social_links, services; URL issues: website_url: missing scheme",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""phone"",""social_links"",""services""],""url_issues"":[""website_url: missing scheme""]}"
x5m3z3l5bfmo726zhty6xws0,cmfpsfpy00005zjd0spb2frkn,NEEDS_UPDATE,65,"Missing key fields: phone, services; URL issues: twitter_url should be migrated to x_url",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""phone"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
ew12yxin3p4c05g9otvv3rys,cmfpsfpyc0007zjd0cg6fb5v3,NEEDS_UPDATE,65,"Missing key fields: phone, services; URL issues: twitter_url should be migrated to x_url",Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""phone"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
q0dnrfga6eqehisenenkd6we,ic64ser1q8ez6m5jzjpy2ka4,NEEDS_UPDATE,90,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":true,""has_studio_profile"":true,""missing_fields"":[""services""]}"
z1m1hgnu2d9eqylyu96g9m5o,fnay86fu6ssscpu8x9adpetl,NEEDS_UPDATE,85,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":true,""has_studio_profile"":true,""missing_fields"":[""services""]}"
a8u2tyrovuhifei44ijx6ydj,il5qrmg87wyj9cgpd526vqp8,NEEDS_UPDATE,85,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
g23hbglp4xlhk12asnz2c52r,w7xwg03yvp8epmezygwv56nn,NEEDS_UPDATE,85,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
q0kdeqwp772bf84s67ajiggh,t18fyzy3sq9p7a3m01jud0ve,NEEDS_UPDATE,85,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
hty586r6d56ei57xsccrey8p,g8y45owmczysk2n9784follz,NEEDS_UPDATE,75,Missing key fields: services; URL issues: twitter_url should be migrated to x_url,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""],""url_issues"":[""twitter_url should be migrated to x_url""]}"
u4i5pvsepmqn88bz8gmorfyh,tj4qhrz5pgsvxvcgi937zlbq,EXCEPTION,55,"Missing key fields: coordinates, website, services; URL issues: twitter_url should be migrated to x_url; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""website"",""services""],""url_issues"":[""twitter_url should be migrated to x_url""],""geodata_issue"":""address_no_coords""}"
t58t83oggesv25veckjgfyzk,rln7ayx1amq9q1equ2sch7xp,EXCEPTION,50,"Missing key fields: coordinates, website, social_links, services; Has city/address but missing coordinates",Geocode address to get coordinates,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""coordinates"",""website"",""social_links"",""services""],""geodata_issue"":""address_no_coords""}"
va0epnefok3xy47lcc16ji7c,qcn8t53esj69kskywuqtkwd6,NEEDS_UPDATE,80,Missing key fields: services,Enrich profile with missing data,"{""account_age_days"":119,""has_activity"":false,""has_studio_profile"":true,""missing_fields"":[""services""]}"
